step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,14048.743164,1.854440e+01,9,CG,6,2.66e-09,0,1.5192,1.5192
2,14051.809570,3.779953e+01,6,CG,6,2.58e-09,0,1.3950,2.9142
3,14050.166992,3.480404e+01,5,CG,6,2.45e-09,0,1.2063,4.1206
4,14048.105469,1.225009e+01,6,CG,6,2.77e-09,0,1.3214,5.4419
5,14048.739258,2.054483e+01,6,CG,6,2.67e-09,0,1.0337,6.4756
6,14049.246094,2.687326e+01,6,CG,6,2.30e-09,0,1.2621,7.7378
7,14048.466797,2.147219e+01,6,CG,6,2.84e-09,0,1.1156,8.8534
8,14047.878906,1.024506e+01,5,CG,6,2.71e-09,0,1.2162,10.0696
9,14048.101562,1.018869e+01,6,CG,6,2.24e-09,0,0.9463,11.0160
10,14048.187500,1.654148e+01,6,CG,6,2.88e-09,0,0.9969,12.0128
11,14047.906250,1.254418e+01,5,CG,6,2.68e-09,0,1.4664,13.4793
12,14047.801758,8.707153e+00,6,CG,6,2.28e-09,0,1.3077,14.7870
13,14047.816406,7.316833e+00,6,CG,6,2.88e-09,0,1.2366,16.0236
14,14047.794922,9.862125e+00,5,CG,6,2.61e-09,0,1.4348,17.4584
15,14047.775391,7.072740e+00,6,CG,6,2.36e-09,0,1.1362,18.5946
16,14047.713867,6.117371e+00,6,CG,6,2.84e-09,0,1.3065,19.9011
17,14047.668945,3.544915e+00,5,CG,6,2.55e-09,0,1.0204,20.9216
18,14047.697266,5.526653e+00,6,CG,6,2.47e-09,0,1.3651,22.2867
19,14047.699219,4.350704e+00,6,CG,6,2.77e-09,0,1.0984,23.3851
20,14047.657227,3.209471e+00,5,CG,6,2.53e-09,0,1.3639,24.7490
21,14047.647461,2.156187e+00,5,CG,6,2.56e-09,0,1.1143,25.8633
22,14047.659180,3.444937e+00,6,CG,6,2.68e-09,0,1.6244,27.4877
23,14047.654297,2.946027e+00,6,CG,6,2.54e-09,0,1.2516,28.7393
24,14047.641602,2.461790e+00,5,CG,6,2.61e-09,0,1.1858,29.9251
25,14047.634766,1.110867e+00,5,CG,6,2.61e-09,0,1.0246,30.9497
26,14047.642578,2.233372e+00,5,CG,6,2.58e-09,0,1.3993,32.3490
27,14047.644531,1.937084e+00,5,CG,6,2.62e-09,0,1.5252,33.8742
28,14047.632812,9.164391e-01,6,CG,6,2.57e-09,0,1.0879,34.9622
29,14047.632812,7.065315e-01,5,CG,6,2.61e-09,0,1.3349,36.2971
30,14047.638672,1.375729e+00,4,CG,6,2.61e-09,0,1.3399,37.6369
31,14047.633789,1.161442e+00,5,CG,6,2.56e-09,0,1.3843,39.0213
32,14047.632812,7.455139e-01,5,CG,6,2.63e-09,0,1.3959,40.4172
33,14047.630859,6.316261e-01,5,CG,6,2.60e-09,0,1.5005,41.9177
34,14047.634766,7.815933e-01,5,CG,6,2.57e-09,0,1.3731,43.2908
35,14047.633789,8.452759e-01,5,CG,6,2.63e-09,0,1.2083,44.4992
36,14047.629883,3.248138e-01,5,CG,6,2.59e-09,0,1.0452,45.5444
37,14047.633789,4.690247e-01,5,CG,6,2.58e-09,0,1.0448,46.5892
38,14047.631836,6.985168e-01,5,CG,6,2.62e-09,0,1.3186,47.9078
39,14047.628906,4.935856e-01,5,CG,6,2.58e-09,0,1.0055,48.9133
40,14047.630859,2.719145e-01,5,CG,6,2.59e-09,0,1.3001,50.2134
41,14047.632812,4.535217e-01,6,CG,6,2.61e-09,0,1.2943,51.5076
42,14047.632812,3.257227e-01,6,CG,6,2.59e-09,0,1.5151,53.0228
43,14047.630859,3.747149e-01,5,CG,6,2.60e-09,0,1.3385,54.3613
44,14047.631836,2.654724e-01,4,CG,6,2.61e-09,0,1.2841,55.6454
45,14047.632812,2.123108e-01,5,CG,6,2.59e-09,0,1.1338,56.7792
46,14047.634766,2.320690e-01,5,CG,6,2.60e-09,0,1.2541,58.0333
47,14047.628906,2.846575e-01,4,CG,6,2.60e-09,0,1.3259,59.3593
48,14047.627930,1.702480e-01,5,CG,6,2.59e-09,0,1.0507,60.4100
49,14047.632812,1.237092e-01,5,CG,6,2.60e-09,0,1.2988,61.7088
50,14047.630859,1.603088e-01,5,CG,6,2.60e-09,0,1.4685,63.1773
51,14047.630859,1.881361e-01,4,CG,6,2.60e-09,0,1.3366,64.5139
52,14047.627930,1.139698e-01,4,CG,6,2.60e-09,0,1.1536,65.6675
53,14047.631836,6.754875e-02,5,CG,6,2.60e-09,0,1.4428,67.1102
54,14047.630859,9.399509e-02,4,CG,6,2.60e-09,0,1.0739,68.1842
55,14047.630859,1.149836e-01,4,CG,6,2.60e-09,0,1.2110,69.3952
56,14047.630859,7.440472e-02,4,CG,6,2.60e-09,0,1.4190,70.8142
57,14047.630859,1.211548e-02,3,CG,6,2.60e-09,0,1.2079,72.0222
58,14047.634766,4.108524e-02,4,CG,6,2.60e-09,0,1.4011,73.4233
59,14047.634766,6.477356e-02,4,CG,6,2.60e-09,0,1.2872,74.7105
60,14047.629883,5.383015e-02,4,CG,6,2.60e-09,0,1.0845,75.7949
61,14047.632812,1.605225e-02,4,CG,6,2.60e-09,0,1.3587,77.1537
62,14047.627930,2.856541e-02,4,CG,6,2.60e-09,0,1.5021,78.6557
63,14047.632812,4.799080e-02,4,CG,6,2.60e-09,0,1.3286,79.9844
64,14047.633789,3.418541e-02,4,CG,6,2.60e-09,0,1.3031,81.2874
65,14047.631836,1.169920e-02,4,CG,6,2.60e-09,0,1.1229,82.4104
66,14047.632812,2.896595e-02,4,CG,6,2.60e-09,0,1.3958,83.8061
67,14047.632812,3.751183e-02,4,CG,6,2.60e-09,0,1.3468,85.1529
68,14047.631836,2.245331e-02,4,CG,6,2.60e-09,0,1.1488,86.3017
69,14047.632812,1.574707e-02,4,CG,6,2.60e-09,0,1.2609,87.5626
70,14047.628906,2.703762e-02,4,CG,6,2.60e-09,0,1.0043,88.5669
71,14047.630859,3.529835e-02,4,CG,6,2.60e-09,0,1.6243,90.1912
72,14047.632812,3.163910e-02,4,CG,6,2.60e-09,0,1.1872,91.3784
73,14047.632812,1.512909e-02,5,CG,6,2.60e-09,0,1.3961,92.7746
74,14047.632812,4.709244e-03,4,CG,6,2.60e-09,0,1.2127,93.9872
75,14047.630859,1.749802e-02,4,CG,6,2.60e-09,0,1.4359,95.4232
76,14047.633789,1.623058e-02,4,CG,6,2.60e-09,0,1.2207,96.6439
77,14047.632812,2.631187e-03,3,CG,6,2.60e-09,0,1.1314,97.7753
78,14047.628906,1.030064e-02,4,CG,6,2.60e-09,0,1.1688,98.9441
79,14047.628906,1.401901e-02,4,CG,6,2.60e-09,0,1.3754,100.3195
80,14047.630859,1.067734e-02,4,CG,6,2.60e-09,0,1.2389,101.5583
81,14047.628906,5.587578e-03,4,CG,6,2.60e-09,0,1.2559,102.8143
82,14047.629883,5.889893e-03,4,CG,6,2.60e-09,0,1.1959,104.0101
83,14047.630859,5.065918e-03,4,CG,6,2.60e-09,0,1.3114,105.3216
84,14047.631836,6.894588e-03,4,CG,6,2.60e-09,0,1.2711,106.5927
85,14047.632812,6.899834e-03,6,CG,6,2.60e-09,0,1.4833,108.0760
86,14047.630859,1.437378e-02,4,CG,6,2.60e-09,0,1.3798,109.4558
87,14047.630859,1.351929e-02,4,CG,6,2.60e-09,0,0.7284,110.1842
88,14047.630859,3.640652e-03,4,CG,6,2.60e-09,0,1.2849,111.4691
89,14047.630859,1.321411e-02,4,CG,6,2.60e-09,0,1.2130,112.6821
90,14047.631836,1.416016e-02,5,CG,6,2.60e-09,0,1.2085,113.8905
91,14047.629883,1.101303e-02,4,CG,6,2.60e-09,0,0.9939,114.8845
92,14047.634766,1.384449e-02,4,CG,6,2.60e-09,0,1.2105,116.0949
93,14047.630859,1.321411e-02,4,CG,6,2.60e-09,0,1.4352,117.5301
94,14047.630859,4.691124e-03,4,CG,6,2.60e-09,0,1.2203,118.7504
95,14047.633789,1.393414e-02,3,CG,6,2.60e-09,0,1.4337,120.1841
96,14047.631836,1.210880e-02,4,CG,6,2.60e-09,0,1.1761,121.3603
97,14047.629883,1.953125e-03,4,CG,6,2.60e-09,0,1.2345,122.5948
98,14047.631836,1.294994e-02,4,CG,6,2.60e-09,0,1.2769,123.8716
99,14047.628906,2.397442e-02,4,CG,6,2.60e-09,0,1.2532,125.1248
100,14047.631836,2.403259e-02,3,CG,6,2.60e-09,0,1.3932,126.5180
