step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,42938.546291,4.225879e+01,23,CG,500,6.51e-07,0,0.6045,0.6045
2,42901.816802,4.217606e+01,15,CG,500,6.81e-07,0,0.6134,1.2179
3,42846.897855,4.205214e+01,16,CG,500,7.27e-07,0,0.6029,1.8208
4,42783.109926,4.190790e+01,16,CG,500,7.85e-07,0,0.6088,2.4296
5,42715.124444,4.175380e+01,16,CG,500,8.51e-07,0,0.6071,3.0367
6,42645.278469,4.159513e+01,16,CG,500,9.25e-07,0,0.5955,3.6322
7,42574.739383,4.143451e+01,16,CG,500,1.01e-06,0,0.5955,4.2277
8,42504.089104,4.127328e+01,16,CG,500,1.09e-06,0,0.6091,4.8368
9,42433.616669,4.111210e+01,16,CG,500,1.19e-06,0,0.5988,5.4356
10,42363.464634,4.095130e+01,16,CG,500,1.29e-06,0,0.6008,6.0364
11,42293.702310,4.079106e+01,16,CG,500,1.40e-06,0,0.6071,6.6434
12,42224.362388,4.063147e+01,16,CG,500,1.52e-06,0,0.6146,7.2580
13,42155.459254,4.047255e+01,16,CG,500,1.64e-06,0,0.6579,7.9159
14,42086.997936,4.031434e+01,16,CG,500,1.77e-06,0,0.6016,8.5175
15,42018.979533,4.015686e+01,16,CG,500,1.92e-06,0,0.6211,9.1386
16,41951.402021,4.000011e+01,16,CG,500,2.07e-06,0,0.5973,9.7359
17,41884.263052,3.984409e+01,16,CG,500,2.23e-06,0,0.6039,10.3399
18,41817.559128,3.968881e+01,16,CG,500,2.40e-06,0,0.6214,10.9613
19,41751.286672,3.953426e+01,16,CG,500,2.58e-06,0,0.6073,11.5686
20,41685.441978,3.938045e+01,16,CG,500,2.78e-06,0,0.6027,12.1713
21,41620.021283,3.922738e+01,16,CG,500,2.98e-06,0,0.6101,12.7814
22,41555.020803,3.907504e+01,16,CG,500,3.20e-06,0,0.6036,13.3850
23,41490.435881,3.892345e+01,16,CG,500,3.44e-06,0,0.6061,13.9911
24,41426.264471,3.877259e+01,16,CG,500,3.68e-06,0,0.6031,14.5942
25,41362.501944,3.862248e+01,16,CG,500,3.95e-06,0,0.6075,15.2017
26,41299.144544,3.847311e+01,16,CG,500,4.22e-06,0,0.6077,15.8094
27,41236.188422,3.832447e+01,16,CG,500,4.52e-06,0,0.6042,16.4136
28,41173.630089,3.817658e+01,16,CG,500,4.83e-06,0,0.6041,17.0178
29,41111.465726,3.802942e+01,16,CG,500,5.16e-06,0,0.6022,17.6200
30,41049.691646,3.788301e+01,16,CG,500,5.51e-06,0,0.5971,18.2171
31,40988.304186,3.773733e+01,16,CG,500,5.88e-06,0,0.6038,18.8208
32,40927.299702,3.759240e+01,16,CG,500,6.26e-06,0,0.6018,19.4227
33,40866.674565,3.744820e+01,16,CG,500,6.67e-06,0,0.6055,20.0282
34,40806.425169,3.730474e+01,16,CG,500,7.10e-06,0,0.5985,20.6267
35,40746.547927,3.716201e+01,16,CG,500,7.54e-06,0,0.6078,21.2345
36,40687.039278,3.702002e+01,16,CG,500,8.01e-06,0,0.5977,21.8322
37,40627.895676,3.687876e+01,16,CG,500,8.51e-06,0,0.5977,22.4299
38,40569.113602,3.673824e+01,16,CG,500,9.02e-06,0,0.6042,23.0340
39,40510.689558,3.659845e+01,16,CG,500,9.56e-06,0,0.6026,23.6366
40,40452.620065,3.645939e+01,16,CG,500,1.01e-05,0,0.6084,24.2450
41,40394.907572,3.632105e+01,16,CG,500,1.07e-05,0,0.6128,24.8577
42,40337.535922,3.618344e+01,16,CG,500,1.13e-05,0,0.6025,25.4602
43,40280.509453,3.604656e+01,16,CG,500,1.20e-05,0,0.6175,26.0777
44,40223.823859,3.591041e+01,16,CG,500,1.27e-05,0,0.6097,26.6874
45,40167.475779,3.577498e+01,16,CG,500,1.34e-05,0,0.6130,27.3004
46,40111.461873,3.564028e+01,16,CG,500,1.41e-05,0,0.6153,27.9156
47,40055.778827,3.550630e+01,16,CG,500,1.49e-05,0,0.6180,28.5336
48,40000.423351,3.537304e+01,16,CG,500,1.57e-05,0,0.6159,29.1495
49,39945.392176,3.524049e+01,16,CG,500,1.65e-05,0,0.6351,29.7846
50,39890.682064,3.510867e+01,16,CG,500,1.74e-05,0,0.6211,30.4057
51,39836.289796,3.497757e+01,16,CG,500,1.83e-05,0,0.6090,31.0147
52,39782.212179,3.484718e+01,16,CG,500,1.92e-05,0,0.6097,31.6244
53,39728.446051,3.471750e+01,16,CG,500,2.02e-05,0,0.6028,32.2272
54,39674.988271,3.458853e+01,16,CG,500,2.12e-05,0,0.6076,32.8348
55,39621.835722,3.446027e+01,16,CG,500,2.23e-05,0,0.6034,33.4382
56,39568.985317,3.433271e+01,16,CG,500,2.34e-05,0,0.6036,34.0419
57,39516.433996,3.420587e+01,16,CG,500,2.45e-05,0,0.6103,34.6522
58,39464.178719,3.407973e+01,16,CG,500,2.57e-05,0,0.6467,35.2989
59,39412.216473,3.395429e+01,16,CG,500,2.70e-05,0,0.6035,35.9023
60,39360.544273,3.382956e+01,16,CG,500,2.82e-05,0,0.6089,36.5112
