step,nll_sum,grad_inf,n_active,e_iters,step_time_s,cumulative_time_s
0,42938.507812,1.269390e+02,100,21,0.4709,0.4709
1,36109.167969,1.508018e+02,100,1,0.6721,1.1430
2,32123.107422,1.264581e+01,100,1,0.5686,1.7116
3,27509.251953,1.068730e+02,100,6,1.0261,2.7377
4,20738.376953,8.130869e+01,100,6,2.8137,5.5515
5,19057.523438,3.648545e+01,100,7,1.8010,7.3525
6,17690.554688,7.699882e+01,100,7,1.0885,8.4410
7,16558.781250,3.745018e+01,100,7,0.8552,9.2962
8,15962.047852,1.531666e+01,100,7,0.8196,10.1158
9,15590.925781,1.428532e+01,100,7,0.8118,10.9276
10,15359.009766,8.656864e+00,100,7,1.4480,12.3756
11,15260.729492,8.787059e+00,100,7,0.7970,13.1727
12,15225.701172,7.000003e+00,100,7,0.7991,13.9717
13,15060.508789,7.667030e+00,100,7,0.7831,14.7548
14,14547.335938,2.934725e+01,100,3,0.7486,15.5034
15,14178.413086,5.994991e+00,99,7,0.7651,16.2685
16,14080.826172,2.812436e+01,94,7,0.7741,17.0427
17,13991.009766,1.943515e+01,85,7,0.7793,17.8219
18,13974.631836,1.515612e+01,77,7,0.7758,18.5977
19,13951.676758,5.994993e+00,66,7,0.7773,19.3750
20,13937.641602,5.994991e+00,58,7,0.7891,20.1642
21,13933.527344,6.581912e+00,57,7,0.7745,20.9387
22,13931.791992,5.994991e+00,56,7,0.7775,21.7162
23,13929.866211,5.994993e+00,53,7,0.7867,22.5030
24,13929.653320,5.994992e+00,50,7,0.7728,23.2757
25,13889.072266,5.681029e+00,50,3,0.7738,24.0496
26,13865.365234,1.999994e+00,50,3,0.7675,24.8170
27,13861.164062,2.191128e+01,49,3,1.0362,25.8532
28,13828.730469,1.035340e+01,48,3,0.8191,26.6723
29,13827.080078,1.780337e+00,48,3,0.7861,27.4584
30,13821.658203,1.045388e+00,48,3,0.7901,28.2485
31,13820.198242,1.938610e+00,46,5,0.7676,29.0161
32,13815.099609,1.944453e+00,45,5,0.7699,29.7860
33,13813.001953,2.119296e+00,45,5,0.7700,30.5560
34,13812.509766,1.407284e+00,44,5,0.7705,31.3265
35,13812.157227,8.324575e-01,44,5,0.7738,32.1003
36,13811.565430,2.688904e-01,44,5,0.7731,32.8735
37,13811.500000,1.285151e-01,44,5,0.7844,33.6578
38,13811.492188,4.319239e-02,44,5,0.7697,34.4275
39,13811.492188,1.098204e-02,44,5,0.7736,35.2011
40,13811.492188,3.603876e-03,44,5,0.7739,35.9750
41,13811.492188,3.606260e-03,44,5,0.7663,36.7413
42,13811.492188,3.606707e-03,44,5,0.7644,37.5056
43,13811.492188,3.607184e-03,42,5,0.7639,38.2695
44,13811.492188,3.606260e-03,42,5,0.7620,39.0315
45,13811.492188,3.607199e-03,41,2000,7.0830,46.1145
46,13811.492188,3.607675e-03,41,5,0.7736,46.8881
47,13811.492188,3.607184e-03,41,5,0.7600,47.6481
48,13811.492188,3.606260e-03,41,5,0.7695,48.4176
49,13811.492188,3.606722e-03,41,5,0.7584,49.1759
50,13811.492188,3.605783e-03,41,5,0.7734,49.9493
51,13811.492188,3.606707e-03,41,5,0.7684,50.7177
52,13811.492188,3.605813e-03,41,5,0.7617,51.4795
53,13811.492188,3.605813e-03,41,5,1.3994,52.8789
54,13811.492188,3.605291e-03,41,5,0.7636,53.6426
55,13811.492188,3.606260e-03,41,5,0.7589,54.4015
56,13811.492188,3.606737e-03,41,5,0.7658,55.1673
57,13811.492188,3.606260e-03,41,5,0.7581,55.9254
58,13811.492188,3.606737e-03,41,5,0.7658,56.6913
59,13811.492188,3.607199e-03,41,5,0.7647,57.4560
60,13811.492188,3.605336e-03,41,5,0.7636,58.2196
61,13811.492188,3.605321e-03,40,5,0.7619,58.9815
62,13811.492188,3.606275e-03,39,5,0.7590,59.7404
63,13811.492188,3.605381e-03,38,5,0.7652,60.5056
64,13811.492188,3.605798e-03,38,5,0.7642,61.2698
65,13811.492188,3.604829e-03,38,5,0.7651,62.0349
66,13811.492188,3.604352e-03,37,5,0.7644,62.7993
67,13811.492188,3.606752e-03,37,5,0.7587,63.5579
68,13811.492188,3.605783e-03,37,5,0.7567,64.3146
69,13811.492188,3.606260e-03,37,5,0.7612,65.0758
70,13811.492188,3.605306e-03,36,5,0.7632,65.8391
71,13811.492188,3.606737e-03,36,5,0.7611,66.6001
72,13811.492188,3.606260e-03,36,5,0.7625,67.3627
73,13811.492188,3.606737e-03,36,5,0.7622,68.1249
74,13811.492188,3.605768e-03,36,5,0.7626,68.8875
75,13811.492188,3.604352e-03,36,5,0.7601,69.6477
76,13811.492188,3.602386e-03,35,5,0.7599,70.4075
77,13811.492188,3.606245e-03,35,5,0.7637,71.1712
78,13811.492188,3.605783e-03,35,5,0.7590,71.9302
79,13811.492188,3.605813e-03,35,5,0.7606,72.6907
80,13811.492188,3.605783e-03,35,5,0.7555,73.4462
81,13811.492188,3.606737e-03,35,5,0.7614,74.2076
82,13811.492188,3.606707e-03,35,5,0.7634,74.9710
83,13811.492188,3.606737e-03,35,5,0.7588,75.7298
84,13811.492188,3.606752e-03,35,5,0.7577,76.4875
85,13811.492188,3.606245e-03,35,5,0.7628,77.2504
86,13811.492188,3.602415e-03,35,5,0.7597,78.0101
87,13811.492188,3.606245e-03,35,5,0.7624,78.7725
88,13811.492188,3.606245e-03,35,5,0.7628,79.5353
89,13811.492188,3.606245e-03,35,5,0.7591,80.2944
90,13811.492188,3.606260e-03,35,5,0.7601,81.0545
91,13811.492188,3.606290e-03,35,5,0.7567,81.8112
92,13811.492188,3.606737e-03,35,5,0.7645,82.5757
93,13811.492188,3.606260e-03,35,5,0.7624,83.3381
94,13811.492188,3.605768e-03,35,5,0.7635,84.1016
95,13811.492188,3.606260e-03,34,5,0.7587,84.8603
96,13811.492188,3.606245e-03,34,5,0.7573,85.6176
97,13811.492188,3.606275e-03,34,5,0.7631,86.3808
98,13811.492188,3.604829e-03,34,5,0.7604,87.1412
99,13811.492188,3.604323e-03,34,5,0.7572,87.8984
100,13811.492188,3.606737e-03,34,5,0.7573,88.6558
