step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,9372.412109,2.969776e+02,10,CG,7,2.95e-09,0,0.7231,0.7231
2,8829.831055,2.292612e+02,7,CG,6,5.76e-09,0,0.3686,1.0917
3,9630.421875,1.763863e+02,6,CG,6,1.02e-09,0,0.3481,1.4398
4,9508.218750,1.437041e+02,6,CG,5,8.90e-09,0,0.3509,1.7907
5,8758.560547,1.094210e+02,5,CG,5,2.74e-09,0,0.3303,2.1210
6,8414.712891,9.253999e+01,5,CG,5,9.39e-10,0,0.2873,2.4083
7,8896.137695,8.156833e+01,5,CG,4,5.18e-09,0,0.3253,2.7336
8,8638.355469,6.830525e+01,5,CG,4,8.06e-09,0,0.2821,3.0157
9,9257.376953,6.162425e+01,5,CG,4,6.67e-09,0,0.3111,3.3268
10,8600.164062,5.532357e+01,4,CG,4,2.70e-09,0,0.2816,3.6084
11,9103.185547,5.774060e+01,4,CG,4,1.25e-09,0,0.3500,3.9585
12,9196.776367,4.978767e+01,4,CG,4,3.97e-09,0,0.3372,4.2957
13,8903.891602,4.947961e+01,4,CG,4,4.36e-10,0,0.3421,4.6377
14,8256.621094,4.111866e+01,4,CG,4,1.48e-09,0,0.2822,4.9199
15,9398.902344,5.362867e+01,4,CG,4,4.19e-10,0,0.3150,5.2349
16,8878.123047,4.078547e+01,4,CG,4,1.46e-10,0,0.2806,5.5155
17,8871.427734,3.851184e+01,7,CG,4,1.06e-10,0,0.2916,5.8071
18,8899.889648,3.422973e+01,4,CG,3,9.38e-09,0,0.2980,6.1051
19,8578.896484,3.993274e+01,4,CG,4,8.78e-11,0,0.2846,6.3897
20,9181.425781,5.682668e+01,4,CG,4,5.42e-10,0,0.2784,6.6681
21,9138.455078,2.926143e+01,4,CG,4,4.88e-10,0,0.3188,6.9869
22,8219.039062,4.149224e+01,4,CG,4,2.71e-10,0,0.2651,7.2520
23,8680.003906,2.493130e+01,4,CG,3,7.76e-09,0,0.3122,7.5642
24,8560.144531,2.446187e+01,4,CG,3,3.60e-09,0,0.3237,7.8878
25,8534.249023,4.672539e+01,4,CG,3,7.17e-10,0,0.2917,8.1796
26,9009.705078,2.967118e+01,3,CG,3,1.77e-09,0,0.2736,8.4532
27,8344.302734,2.190644e+01,4,CG,3,2.46e-09,0,0.2920,8.7452
28,8342.337891,2.268069e+01,4,CG,3,2.10e-09,0,0.2620,9.0072
29,8340.052734,2.054708e+01,4,CG,3,1.78e-09,0,0.2501,9.2573
30,9152.878906,2.134185e+01,4,CG,3,3.49e-09,0,0.2680,9.5253
31,8999.396484,3.937463e+01,4,CG,3,7.91e-10,0,0.2859,9.8112
32,8930.555664,2.087300e+01,3,CG,3,1.52e-09,0,0.2971,10.1083
33,8492.806641,1.857894e+01,4,CG,3,1.06e-09,0,0.2758,10.3841
34,9146.416016,2.611395e+01,4,CG,3,2.01e-09,0,0.2685,10.6526
35,8743.322266,1.840831e+01,4,CG,3,1.04e-09,0,0.3018,10.9545
36,8851.994141,1.825503e+01,4,CG,3,1.20e-09,0,0.2818,11.2362
37,9261.287109,2.118317e+01,3,CG,3,4.11e-10,0,0.3088,11.5450
38,8187.354980,2.685868e+01,3,CG,3,9.43e-09,0,0.2740,11.8191
39,8653.080078,2.580744e+01,3,CG,3,7.54e-10,0,0.2616,12.0806
40,8849.796875,1.742865e+01,4,CG,3,2.63e-10,0,0.2657,12.3463
41,9324.897461,2.158144e+01,3,CG,3,4.13e-10,0,0.2700,12.6164
42,8481.822266,1.487414e+01,3,CG,3,3.34e-10,0,0.2480,12.8643
43,8811.978516,5.486241e+01,4,CG,3,2.06e-10,0,0.2767,13.1410
44,8320.807617,1.401201e+01,4,CG,3,2.63e-10,0,0.2434,13.3844
45,8648.740234,3.724625e+01,3,CG,3,4.06e-10,0,0.2476,13.6321
46,9118.489258,3.992649e+01,3,CG,3,2.96e-10,0,0.2408,13.8728
47,8477.766602,1.342763e+01,3,CG,3,1.96e-10,0,0.2385,14.1113
48,8730.960938,2.758369e+01,3,CG,3,2.32e-10,0,0.2530,14.3644
49,9249.054688,1.376826e+01,3,CG,3,1.16e-10,0,0.2617,14.6260
50,8643.183594,1.278038e+01,3,CG,3,2.34e-10,0,0.2438,14.8699
51,9128.300781,1.312093e+01,3,CG,3,3.01e-10,0,0.2656,15.1354
52,8315.183594,1.396992e+01,4,CG,3,1.16e-10,0,0.2399,15.3753
53,9129.595703,3.027760e+01,3,CG,3,4.54e-09,0,0.2459,15.6212
54,8975.647461,5.714976e+01,3,CG,3,6.73e-11,0,0.2711,15.8924
55,8640.445312,1.811231e+01,4,CG,3,1.54e-10,0,0.2598,16.1522
56,9125.320312,1.204100e+01,3,CG,3,2.03e-10,0,0.2649,16.4170
57,8471.289062,1.124108e+01,3,CG,3,8.28e-11,0,0.2388,16.6558
58,9087.923828,1.186413e+01,3,CG,3,3.68e-09,0,0.2670,16.9228
59,8799.466797,4.951560e+01,3,CG,3,5.20e-11,0,0.2694,17.1922
60,8687.246094,1.124066e+01,3,CG,3,4.36e-11,0,0.2430,17.4352
61,8169.903320,1.072022e+01,4,CG,3,2.55e-09,0,0.2431,17.6784
62,9086.519531,2.215471e+01,3,CG,3,3.09e-09,0,0.2529,17.9313
63,8469.146484,2.215616e+01,3,CG,3,5.63e-11,0,0.2343,18.1656
64,8518.983398,2.384064e+01,4,CG,3,5.10e-11,0,0.2307,18.3963
65,8720.218750,1.044224e+01,3,CG,3,6.02e-11,0,0.2525,18.6488
66,9120.372070,1.034352e+01,3,CG,3,9.49e-11,0,0.2528,18.9016
67,9307.365234,1.163298e+01,3,CG,3,4.25e-11,0,0.2532,19.1548
68,8901.582031,3.607391e+01,3,CG,3,4.50e-11,0,0.2616,19.4164
69,8831.565430,2.148723e+01,3,CG,3,2.35e-11,0,0.2531,19.6694
70,8899.197266,1.424255e+01,3,CG,3,4.14e-11,0,0.2609,19.9303
71,9106.578125,4.970364e+01,3,CG,3,4.04e-11,0,0.2319,20.1622
72,8826.782227,9.645891e+00,3,CG,3,5.07e-11,0,0.2430,20.4052
73,8594.373047,2.656251e+01,3,CG,3,2.67e-11,0,0.2505,20.6556
74,9117.161133,9.274740e+00,3,CG,3,5.43e-11,0,0.2535,20.9091
75,8830.201172,3.162387e+01,3,CG,3,1.59e-11,0,0.4089,21.3180
76,8963.220703,4.462407e+01,3,CG,3,1.61e-11,0,0.2534,21.5714
77,8164.402832,1.478940e+01,3,CG,3,1.29e-09,0,0.2381,21.8095
78,8788.692383,2.178306e+01,3,CG,3,1.60e-11,0,0.2495,22.0591
79,8959.455078,9.411271e+00,3,CG,3,1.47e-11,0,0.2522,22.3113
80,8598.119141,6.460145e+01,3,CG,3,1.94e-11,0,0.2244,22.5357
