step,nll,grad_inf,e_iters,cg_method,cg_iters,cg_residual,cg_fallback,step_time_s,cumulative_time_s
1,42938.500000,4.225714e+01,23,CG,500,6.52e-07,0,2.0506,2.0506
2,39569.750000,3.408595e+01,20,CG,500,2.91e-05,0,2.1302,4.1809
3,35250.187500,2.350747e+01,21,CG,500,1.34e-03,0,2.1999,6.3807
4,31410.992188,2.172507e+01,19,CG,500,1.04e-02,0,2.2909,8.6717
5,27916.939453,2.260535e+01,19,CG,500,1.43e-02,0,2.1354,10.8071
6,24582.890625,2.065200e+01,17,CG,500,4.45e-03,0,2.3123,13.1194
7,21579.958984,1.721903e+01,15,CG,500,3.84e-04,0,2.1660,15.2854
8,19107.503906,1.363456e+01,13,CG,500,9.85e-06,0,1.9475,17.2329
9,17231.951172,1.028177e+01,11,CG,500,7.04e-08,0,1.9844,19.2172
10,15898.559570,7.784956e+00,10,CG,15,8.78e-09,0,1.5520,20.7692
11,14994.131836,6.217135e+00,9,CG,11,5.06e-09,0,1.6614,22.4306
12,14399.470703,5.163661e+00,8,CG,9,4.63e-09,0,1.6999,24.1305
13,14015.267578,4.967319e+00,7,CG,8,3.80e-09,0,1.4315,25.5621
14,13768.269531,5.034810e+00,8,CG,7,6.41e-09,0,1.2875,26.8495
15,13608.184570,4.738083e+00,7,CG,7,2.92e-09,0,1.0147,27.8643
16,13502.031250,4.148703e+00,7,CG,7,1.65e-09,0,1.5034,29.3677
17,13428.852539,3.338134e+00,6,CG,6,8.75e-09,0,1.2962,30.6639
18,13375.666016,3.143579e+00,6,CG,6,7.25e-09,0,1.2673,31.9312
19,13334.603516,2.994541e+00,7,CG,6,6.77e-09,0,1.1680,33.0992
20,13301.013672,2.771444e+00,7,CG,6,7.01e-09,0,1.5770,34.6762
21,13272.220703,2.580210e+00,6,CG,6,7.95e-09,0,1.3025,35.9787
22,13246.751953,2.414793e+00,6,CG,6,9.76e-09,0,1.1205,37.0992
23,13223.840820,2.150056e+00,6,CG,7,1.67e-09,0,1.1270,38.2262
24,13203.119141,1.798899e+00,7,CG,7,2.41e-09,0,1.4143,39.6406
25,13184.425781,1.661222e+00,6,CG,7,3.58e-09,0,1.1859,40.8265
26,13167.673828,1.553710e+00,6,CG,7,5.37e-09,0,1.1406,41.9671
27,13152.785156,1.438388e+00,6,CG,7,7.94e-09,0,1.2557,43.2228
28,13139.642578,1.317076e+00,6,CG,8,2.27e-09,0,1.3350,44.5578
29,13128.095703,1.191700e+00,6,CG,8,3.23e-09,0,1.3444,45.9022
30,13117.970703,1.106032e+00,7,CG,8,4.33e-09,0,1.2958,47.1980
31,13109.078125,1.068480e+00,6,CG,8,5.45e-09,0,1.1960,48.3940
32,13101.246094,1.030077e+00,6,CG,8,6.45e-09,0,1.6631,50.0571
33,13094.312500,9.908513e-01,6,CG,8,7.20e-09,0,1.2339,51.2910
34,13088.142578,9.511470e-01,6,CG,8,7.66e-09,0,1.3684,52.6595
35,13082.621094,9.103501e-01,6,CG,8,7.82e-09,0,1.4999,54.1594
36,13077.648438,8.707479e-01,6,CG,8,7.72e-09,0,1.0788,55.2382
37,13073.144531,8.305386e-01,6,CG,8,7.44e-09,0,1.2430,56.4812
38,13069.041992,7.900720e-01,6,CG,8,7.06e-09,0,1.2663,57.7475
39,13065.281250,7.502804e-01,6,CG,8,6.63e-09,0,1.3752,59.1227
40,13061.816406,7.104177e-01,6,CG,8,6.20e-09,0,1.3578,60.4805
41,13058.605469,6.714166e-01,6,CG,8,5.80e-09,0,1.3759,61.8564
42,13055.621094,6.328928e-01,6,CG,8,5.44e-09,0,1.2521,63.1085
43,13052.832031,5.954040e-01,6,CG,8,5.13e-09,0,1.1726,64.2811
44,13050.212891,5.588228e-01,6,CG,8,4.87e-09,0,1.2619,65.5431
45,13047.747070,5.262569e-01,6,CG,8,4.66e-09,0,1.6387,67.1818
46,13045.416016,5.158466e-01,6,CG,8,4.49e-09,0,1.3430,68.5247
47,13043.205078,5.058858e-01,6,CG,8,4.35e-09,0,1.4333,69.9580
48,13041.101562,4.963498e-01,6,CG,8,4.25e-09,0,1.4708,71.4288
49,13039.092773,4.872063e-01,6,CG,8,4.18e-09,0,1.4263,72.8551
50,13037.169922,4.784178e-01,6,CG,8,4.13e-09,0,1.3343,74.1894
51,13035.328125,4.699800e-01,6,CG,8,4.10e-09,0,1.5093,75.6987
52,13033.558594,4.618454e-01,6,CG,8,4.09e-09,0,0.9750,76.6738
53,13031.855469,4.540141e-01,6,CG,8,4.08e-09,0,1.3460,78.0198
54,13030.214844,4.464629e-01,6,CG,8,4.08e-09,0,1.2634,79.2831
55,13028.631836,4.391747e-01,7,CG,8,4.09e-09,0,1.1932,80.4763
56,13027.103516,4.321423e-01,6,CG,8,4.10e-09,0,1.0929,81.5692
